Key,Name,Concepts,YoutubeCode,Download
csd_gamelab_velocity,,,zcP94yMYqrI,https://videos.letron.vip/cs-discoveries/gamelab/gamelab_velocity.mp4
csd_weblab_intro_1,,,itx0RYOnoBs,https://videos.letron.vip/cs-discoveries/weblab/weblab_intro_1.mp4
csd_weblab_intro_2,,,Hjl6gbg9kmk,https://videos.letron.vip/cs-discoveries/weblab/weblab_intro_2.mp4
csd_weblab_intro_3,,,2qcIlRtdpgE,https://videos.letron.vip/cs-discoveries/weblab/weblab_intro_3.mp4
csd_weblab_css_1,,,EP9QMdoXvXE,https://videos.letron.vip/cs-discoveries/weblab/weblab_css_1.mp4
csd_weblab_css_2,,,VgBVKlpLqsE,https://videos.letron.vip/cs-discoveries/weblab/weblab_css_2.mp4
csp_applab_objects,,,ZunUF_WGMb4,https://videos.letron.vip/2015/csp/applab/intro-to-objects.mp4
csp_applab_databases_1,,,d8ByCh-BouQ,https://videos.letron.vip/2015/csp/applab/databases_intro_1_create.mp4
csp_applab_databases_2,,,RZlHfbtO2C4,https://videos.letron.vip/2015/csp/applab/databases_intro_2_dataviewer.mp4
csp_applab_processing_lists,,,RQ6GJt9f2vg,https://videos.letron.vip/2015/csp/applab/processing_lists.mp4
csp_applab_lists_1,,,n1exiRH00x0,https://videos.letron.vip/2015/csp/applab/lists_intro_1.mp4
csp_applab_lists_2,,,TL0Y_GI4NZg,https://videos.letron.vip/2015/csp/applab/lists_intro_2.mp4
csp_applab_lists_3,,,rWSsVSMGXXY,https://videos.letron.vip/2015/csp/applab/lists_intro_3.mp4
csp_applab_lists_4,,,H__zi1BiXJM,https://videos.letron.vip/2015/csp/applab/lists_intro_4.mp4
csp_applab_conditionals_1,,,y3rCKJNOwpA,https://videos.letron.vip/2015/csp/applab/conditionals_1.mp4
csp_applab_conditionals_2,,,UDi7xgIIW8E,https://videos.letron.vip/2015/csp/applab/conditionals_2.mp4
csp_applab_conditionals_2A,,,0oG3Wck2fRU,https://videos.letron.vip/2015/csp/applab/conditionals_2A.mp4
csp_applab_conditionals_2B,,,ZIL_3YRD14s,https://videos.letron.vip/2015/csp/applab/conditionals_2B.mp4
csp_applab_conditionals_2C,,,aFssCTE5hs8,https://videos.letron.vip/2015/csp/applab/conditionals_2C.mp4
csp_applab_conditionals_3,,,kyFdniI-ZZs,https://videos.letron.vip/2015/csp/applab/conditionals_3.mp4
csp_applab_design,,,-EoTeD4mSNU,https://videos.letron.vip/2015/csp/applab/design.mp4
csp_applab_variables_1,,,G41G_PEWFjE,https://videos.letron.vip/2015/csp/applab/variables_1.mp4
csp_applab_variables_2,,,ijjVDBPwA1o,https://videos.letron.vip/2015/csp/applab/variables_2.mp4
csp_applab_functions,,,yPWQfa4CHbw,https://videos.letron.vip/2015/csp/applab/functions.mp4
csp_applab_functions_parameters,,,k7Ji1E97-V0,https://videos.letron.vip/2015/csp/applab/functions_parameters.mp4
csp_applab_loops,,,G8hfAk4PfOM,https://videos.letron.vip/2015/csp/applab/loops.mp4
csp_applab_turtle,,,i2KHYUhtOlM,https://videos.letron.vip/2015/csp/applab/turtle.mp4
csp_concept_bigdata_medicine,,,bMrDHtGHFR4,https://videos.letron.vip/2015/csp/concept_bigdata_medicine.mp4
csp_concept_cybercrime,,,AuYNXgO_f3Y,http://videos.letron.vip/2015/csp/concept_cybercrime.mp4
csp_concept_encryption,,,ZghMPWGXexs,http://videos.letron.vip/2015/csp/concept_encryption.mp4
csp_concept_http_html,,,kBXQZMmiA4s,http://videos.letron.vip/2015/csp/concept_http_html.mp4
csp_concept_what_is_internet,,,Dxcc6ycZ73M,https://videos.letron.vip/2015/csp/what_is_the_internet.mp4
csp_concept_internet_ip_dns,,,5o8CwafCxnU,http://videos.letron.vip/2015/csp/concept_internet_ip_dns.mp4
csp_concept_internet_packets_reliability,,,AYdF7b3nMto,http://videos.letron.vip/2015/csp/concept_internet_packets_reliability.mp4
csp_concept_internet_wires_cables_wifi,,,ZhEf7e4kopM,http://videos.letron.vip/2015/csp/concept_internet_wires_cables_wifi.mp4
csp_concept_rgb,,,15aqFQQVBWU,http://videos.letron.vip/2015/csp/concept_rgb.mp4
csp_cs_is_changing_everything,,,QvyTEx1wyOY,https://videos.letron.vip/2015/csp/cs_is_changing_everything.mp4
